variant,exit_reason,count,share,family,stop_mode,cap_days,take_profit_pct,trail_giveback_pct,partial_take_profit_pct
FIXEDTP_FIXED7_TP20_CAP30D,STOP,2716,0.6942740286298569,FIXED_TP,FIXED7,30,0.2,,
FIXEDTP_FIXED7_TP20_CAP30D,TARGET,1196,0.3057259713701431,FIXED_TP,FIXED7,30,0.2,,
FIXEDTP_FIXED7_TP20_CAP3D,STOP,2716,0.6942740286298569,FIXED_TP,FIXED7,3,0.2,,
FIXEDTP_FIXED7_TP20_CAP3D,TARGET,1196,0.3057259713701431,FIXED_TP,FIXED7,3,0.2,,
FIXEDTP_FIXED7_TP20_CAP4D,STOP,2716,0.6942740286298569,FIXED_TP,FIXED7,4,0.2,,
FIXEDTP_FIXED7_TP20_CAP4D,TARGET,1196,0.3057259713701431,FIXED_TP,FIXED7,4,0.2,,
FIXEDTP_FIXED7_TP20_CAP5D,STOP,2716,0.6942740286298569,FIXED_TP,FIXED7,5,0.2,,
FIXEDTP_FIXED7_TP20_CAP5D,TARGET,1196,0.3057259713701431,FIXED_TP,FIXED7,5,0.2,,
FIXEDTP_FIXED7_TP20_CAP6D,STOP,2716,0.6942740286298569,FIXED_TP,FIXED7,6,0.2,,
FIXEDTP_FIXED7_TP20_CAP6D,TARGET,1196,0.3057259713701431,FIXED_TP,FIXED7,6,0.2,,
FIXEDTP_FIXED7_TP20_CAP7D,STOP,2716,0.6942740286298569,FIXED_TP,FIXED7,7,0.2,,
FIXEDTP_FIXED7_TP20_CAP7D,TARGET,1196,0.3057259713701431,FIXED_TP,FIXED7,7,0.2,,
FIXEDTP_STRUCT_CAP10_TP10_CAP1D,STOP,2031,0.5165310274669379,FIXED_TP,STRUCT_CAP10,1,0.1,,
FIXEDTP_STRUCT_CAP10_TP10_CAP1D,TARGET,1901,0.48346897253306204,FIXED_TP,STRUCT_CAP10,1,0.1,,
FIXEDTP_STRUCT_CAP10_TP10_CAP2D,STOP,2031,0.5165310274669379,FIXED_TP,STRUCT_CAP10,2,0.1,,
FIXEDTP_STRUCT_CAP10_TP10_CAP2D,TARGET,1901,0.48346897253306204,FIXED_TP,STRUCT_CAP10,2,0.1,,
FIXEDTP_STRUCT_CAP10_TP10_CAP30D,STOP,2031,0.5165310274669379,FIXED_TP,STRUCT_CAP10,30,0.1,,
FIXEDTP_STRUCT_CAP10_TP10_CAP30D,TARGET,1901,0.48346897253306204,FIXED_TP,STRUCT_CAP10,30,0.1,,
FIXEDTP_STRUCT_CAP10_TP10_CAP3D,STOP,2031,0.5165310274669379,FIXED_TP,STRUCT_CAP10,3,0.1,,
FIXEDTP_STRUCT_CAP10_TP10_CAP3D,TARGET,1901,0.48346897253306204,FIXED_TP,STRUCT_CAP10,3,0.1,,
FIXEDTP_STRUCT_CAP10_TP10_CAP4D,STOP,2031,0.5165310274669379,FIXED_TP,STRUCT_CAP10,4,0.1,,
FIXEDTP_STRUCT_CAP10_TP10_CAP4D,TARGET,1901,0.48346897253306204,FIXED_TP,STRUCT_CAP10,4,0.1,,
FIXEDTP_STRUCT_CAP10_TP10_CAP5D,STOP,2031,0.5165310274669379,FIXED_TP,STRUCT_CAP10,5,0.1,,
FIXEDTP_STRUCT_CAP10_TP10_CAP5D,TARGET,1901,0.48346897253306204,FIXED_TP,STRUCT_CAP10,5,0.1,,
FIXEDTP_STRUCT_CAP10_TP10_CAP6D,STOP,2031,0.5165310274669379,FIXED_TP,STRUCT_CAP10,6,0.1,,
FIXEDTP_STRUCT_CAP10_TP10_CAP6D,TARGET,1901,0.48346897253306204,FIXED_TP,STRUCT_CAP10,6,0.1,,
FIXEDTP_STRUCT_CAP10_TP10_CAP7D,STOP,2031,0.5165310274669379,FIXED_TP,STRUCT_CAP10,7,0.1,,
FIXEDTP_STRUCT_CAP10_TP10_CAP7D,TARGET,1901,0.48346897253306204,FIXED_TP,STRUCT_CAP10,7,0.1,,
FIXEDTP_STRUCT_CAP10_TP20_CAP1D,STOP,2617,0.666921508664628,FIXED_TP,STRUCT_CAP10,1,0.2,,
FIXEDTP_STRUCT_CAP10_TP20_CAP1D,TARGET,1307,0.3330784913353721,FIXED_TP,STRUCT_CAP10,1,0.2,,
FIXEDTP_STRUCT_CAP10_TP20_CAP2D,STOP,2617,0.666921508664628,FIXED_TP,STRUCT_CAP10,2,0.2,,
FIXEDTP_STRUCT_CAP10_TP20_CAP2D,TARGET,1307,0.3330784913353721,FIXED_TP,STRUCT_CAP10,2,0.2,,
FIXEDTP_STRUCT_CAP10_TP20_CAP30D,STOP,2617,0.666921508664628,FIXED_TP,STRUCT_CAP10,30,0.2,,
FIXEDTP_STRUCT_CAP10_TP20_CAP30D,TARGET,1307,0.3330784913353721,FIXED_TP,STRUCT_CAP10,30,0.2,,
FIXEDTP_STRUCT_CAP10_TP20_CAP3D,STOP,2617,0.666921508664628,FIXED_TP,STRUCT_CAP10,3,0.2,,
FIXEDTP_STRUCT_CAP10_TP20_CAP3D,TARGET,1307,0.3330784913353721,FIXED_TP,STRUCT_CAP10,3,0.2,,
FIXEDTP_STRUCT_CAP10_TP20_CAP4D,STOP,2617,0.666921508664628,FIXED_TP,STRUCT_CAP10,4,0.2,,
FIXEDTP_STRUCT_CAP10_TP20_CAP4D,TARGET,1307,0.3330784913353721,FIXED_TP,STRUCT_CAP10,4,0.2,,
FIXEDTP_STRUCT_CAP10_TP20_CAP5D,STOP,2617,0.666921508664628,FIXED_TP,STRUCT_CAP10,5,0.2,,
FIXEDTP_STRUCT_CAP10_TP20_CAP5D,TARGET,1307,0.3330784913353721,FIXED_TP,STRUCT_CAP10,5,0.2,,
FIXEDTP_STRUCT_CAP10_TP20_CAP6D,STOP,2617,0.666921508664628,FIXED_TP,STRUCT_CAP10,6,0.2,,
FIXEDTP_STRUCT_CAP10_TP20_CAP6D,TARGET,1307,0.3330784913353721,FIXED_TP,STRUCT_CAP10,6,0.2,,
FIXEDTP_STRUCT_CAP10_TP20_CAP7D,STOP,2617,0.666921508664628,FIXED_TP,STRUCT_CAP10,7,0.2,,
FIXEDTP_STRUCT_CAP10_TP20_CAP7D,TARGET,1307,0.3330784913353721,FIXED_TP,STRUCT_CAP10,7,0.2,,
FULL_TRAIL_FIXED10_GB30_CAP180D,INITIAL_STOP,1268,0.32437963673573805,FULL_TRAIL,FIXED10,180,,0.3,
FULL_TRAIL_FIXED10_GB30_CAP180D,RUNNER_STOP,2641,0.675620363264262,FULL_TRAIL,FIXED10,180,,0.3,
FULL_TRAIL_FIXED10_GB30_CAP30D,INITIAL_STOP,1268,0.32437963673573805,FULL_TRAIL,FIXED10,30,,0.3,
FULL_TRAIL_FIXED10_GB30_CAP30D,RUNNER_STOP,2641,0.675620363264262,FULL_TRAIL,FIXED10,30,,0.3,
FULL_TRAIL_FIXED10_GB30_CAP365D,INITIAL_STOP,1268,0.32437963673573805,FULL_TRAIL,FIXED10,365,,0.3,
FULL_TRAIL_FIXED10_GB30_CAP365D,RUNNER_STOP,2641,0.675620363264262,FULL_TRAIL,FIXED10,365,,0.3,
FULL_TRAIL_FIXED10_GB30_CAP7D,INITIAL_STOP,1268,0.32437963673573805,FULL_TRAIL,FIXED10,7,,0.3,
FULL_TRAIL_FIXED10_GB30_CAP7D,RUNNER_STOP,2641,0.675620363264262,FULL_TRAIL,FIXED10,7,,0.3,
FULL_TRAIL_FIXED10_GB30_CAP90D,INITIAL_STOP,1268,0.32437963673573805,FULL_TRAIL,FIXED10,90,,0.3,
FULL_TRAIL_FIXED10_GB30_CAP90D,RUNNER_STOP,2641,0.675620363264262,FULL_TRAIL,FIXED10,90,,0.3,
FULL_TRAIL_FIXED10_GB40_CAP180D,INITIAL_STOP,1268,0.32471190781049936,FULL_TRAIL,FIXED10,180,,0.4,
FULL_TRAIL_FIXED10_GB40_CAP180D,RUNNER_STOP,2637,0.6752880921895006,FULL_TRAIL,FIXED10,180,,0.4,
FULL_TRAIL_FIXED10_GB40_CAP30D,INITIAL_STOP,1268,0.32471190781049936,FULL_TRAIL,FIXED10,30,,0.4,
