variant,year,trades,combined_pnl_usdt,mean_pnl_usdt,win_rate,family,stop_mode,cap_days,take_profit_pct,trail_giveback_pct,partial_take_profit_pct
HALF_TP_RUNNER_FIXED7_PT10_GB50_CAP90D,2024,700,2441.720874012884,3.4881726771612627,0.44571428571428573,HALF_TP_RUNNER,FIXED7,90,,0.5,0.1
HALF_TP_RUNNER_FIXED7_PT10_GB50_CAP180D,2024,700,2441.720874012884,3.4881726771612627,0.44571428571428573,HALF_TP_RUNNER,FIXED7,180,,0.5,0.1
HALF_TP_RUNNER_FIXED7_PT10_GB50_CAP365D,2024,700,2441.720874012884,3.4881726771612627,0.44571428571428573,HALF_TP_RUNNER,FIXED7,365,,0.5,0.1
HALF_TP_RUNNER_FIXED7_PT20_GB50_CAP7D,2024,700,3325.799899510393,4.751142713586276,0.2985714285714286,HALF_TP_RUNNER,FIXED7,7,,0.5,0.2
HALF_TP_RUNNER_FIXED7_PT20_GB50_CAP30D,2024,700,3325.799899510393,4.751142713586276,0.2985714285714286,HALF_TP_RUNNER,FIXED7,30,,0.5,0.2
HALF_TP_RUNNER_FIXED7_PT20_GB50_CAP90D,2024,700,3325.799899510393,4.751142713586276,0.2985714285714286,HALF_TP_RUNNER,FIXED7,90,,0.5,0.2
HALF_TP_RUNNER_FIXED7_PT20_GB50_CAP180D,2024,700,3325.799899510393,4.751142713586276,0.2985714285714286,HALF_TP_RUNNER,FIXED7,180,,0.5,0.2
HALF_TP_RUNNER_FIXED7_PT20_GB50_CAP365D,2024,700,3325.799899510393,4.751142713586276,0.2985714285714286,HALF_TP_RUNNER,FIXED7,365,,0.5,0.2
FULL_TRAIL_FIXED7_GB60_CAP7D,2024,700,6094.085412829771,8.70583630404253,0.14142857142857143,FULL_TRAIL,FIXED7,7,,0.6,
FULL_TRAIL_FIXED7_GB60_CAP30D,2024,700,6094.085412829771,8.70583630404253,0.14142857142857143,FULL_TRAIL,FIXED7,30,,0.6,
FULL_TRAIL_FIXED7_GB60_CAP90D,2024,700,6094.085412829771,8.70583630404253,0.14142857142857143,FULL_TRAIL,FIXED7,90,,0.6,
