variant,trades,combined_pnl_usdt,mean_pnl_usdt,median_pnl_usdt,profit_factor,win_rate,median_duration_hours,p10_pnl_usdt,p90_pnl_usdt,family,stop_mode,cap_days,take_profit_pct,trail_giveback_pct,partial_take_profit_pct,positive_years,years_tested,worst_year_pnl_usdt,best_year_pnl_usdt,leader_metric,leader_rank
HALF_TP_RUNNER_STRUCT_CAP10_PT20_GB60_CAP90D,3884.0,24954.11732006276,6.424849979418836,-20.22816073832115,1.3838126309466074,0.3262100926879506,220.0,-30.70486499999999,61.7737872785676,HALF_TP_RUNNER,STRUCT_CAP10,90,,0.6,0.2,5,8,-4462.901845102829,13797.817416653379,mean_pnl,8
HALF_TP_RUNNER_STRUCT_CAP10_PT20_GB60_CAP180D,3884.0,24954.11732006276,6.424849979418836,-20.22816073832115,1.3838126309466074,0.3262100926879506,220.0,-30.70486499999999,61.7737872785676,HALF_TP_RUNNER,STRUCT_CAP10,180,,0.6,0.2,5,8,-4462.901845102829,13797.817416653379,mean_pnl,9
HALF_TP_RUNNER_STRUCT_CAP10_PT20_GB60_CAP365D,3884.0,24954.11732006276,6.424849979418836,-20.22816073832115,1.3838126309466074,0.3262100926879506,220.0,-30.70486499999999,61.7737872785676,HALF_TP_RUNNER,STRUCT_CAP10,365,,0.6,0.2,5,8,-4462.901845102829,13797.817416653379,mean_pnl,10
TIME_FIXED3_CAP1D,3815.0,-37144.19241749997,-9.736354499999994,-9.73635449999997,0.0,0.0,41.0,-9.736354500000028,-9.73635449999997,TIME_ONLY,FIXED3,1,,,,0,8,-7516.465673999994,-1567.553074499999,profit_factor,1
TIME_FIXED3_CAP2D,3815.0,-37144.19241749997,-9.736354499999994,-9.73635449999997,0.0,0.0,41.0,-9.736354500000028,-9.73635449999997,TIME_ONLY,FIXED3,2,,,,0,8,-7516.465673999994,-1567.553074499999,profit_factor,2
TIME_FIXED3_CAP3D,3815.0,-37144.19241749997,-9.736354499999994,-9.73635449999997,0.0,0.0,41.0,-9.736354500000028,-9.73635449999997,TIME_ONLY,FIXED3,3,,,,0,8,-7516.465673999994,-1567.553074499999,profit_factor,3
TIME_FIXED3_CAP4D,3815.0,-37144.19241749997,-9.736354499999994,-9.73635449999997,0.0,0.0,41.0,-9.736354500000028,-9.73635449999997,TIME_ONLY,FIXED3,4,,,,0,8,-7516.465673999994,-1567.553074499999,profit_factor,4
TIME_FIXED3_CAP5D,3815.0,-37144.19241749997,-9.736354499999994,-9.73635449999997,0.0,0.0,41.0,-9.736354500000028,-9.73635449999997,TIME_ONLY,FIXED3,5,,,,0,8,-7516.465673999994,-1567.553074499999,profit_factor,5
TIME_FIXED3_CAP6D,3815.0,-37144.19241749997,-9.736354499999994,-9.73635449999997,0.0,0.0,41.0,-9.736354500000028,-9.73635449999997,TIME_ONLY,FIXED3,6,,,,0,8,-7516.465673999994,-1567.553074499999,profit_factor,6
TIME_FIXED3_CAP7D,3815.0,-37144.19241749997,-9.736354499999994,-9.73635449999997,0.0,0.0,41.0,-9.736354500000028,-9.73635449999997,TIME_ONLY,FIXED3,7,,,,0,8,-7516.465673999994,-1567.553074499999,profit_factor,7
